,seed,actions
34,3863890034,"[3, 3, 0, 0, 2, 2, 2, 1, 2, 2, 0, 3, 0, 2, 1, 1, 3, 3, 3, 3, 1, 0, 2, 2, 2, 0, 3, 1, 3, 3, 0, 3, 1, 2, 0, 2, 1, 0, 3, 3, 1, 1, 0, 1, 2, 0, 2, 2, 2, 0, 3, 1, 3, 3, 3, 1, 1, 0, 0, 2, 0, 2, 1, 2, 2, 0, 3, 3, 3, 1, 3, 0]"
35,3863890035,"[0, 2, 3, 2, 1, 2, 2, 0, 0, 0, 0, 0, 3, 1, 1, 3, 1, 0, 1, 2, 0, 0, 2, 1, 1, 1, 1, 3, 0, 1, 3, 0, 2, 0, 0, 3, 1, 0, 1, 2, 0, 2, 0, 0, 3, 1, 2, 1, 1, 3, 1, 1, 3, 0, 3, 2, 2, 1, 2, 0, 0, 0, 0, 3, 1, 3, 1, 0, 2, 0, 2, 1, 1, 1, 3, 0, 3, 2, 1, 1, 3, 3, 0, 2, 0, 2, 0, 3, 1, 1, 3, 1, 2, 2, 2, 0, 3, 1, 3, 3, 0, 2, 0, 1, 3, 1, 2, 2, 2, 0, 0, 0, 0, 0, 3, 1, 2, 1, 1, 1, 3, 0, 0, 3, 1, 1, 0, 1, 2, 1, 2, 0, 0, 0, 0, 0, 3, 1, 2, 1, 1, 3, 3, 1, 3, 1, 2, 0, 0, 2, 0]"
36,3863890036,[]
37,3863890037,[]
38,3863890038,"[1, 3, 2, 1, 3, 0, 3, 3, 3]"
39,3863890039,"[2, 1, 2, 3, 0, 3, 3, 3, 3, 1, 1, 2, 0, 3, 1, 2, 0, 2, 0, 2, 2, 1, 1, 1, 2, 1, 1, 3, 3, 0, 2, 1, 3, 0, 2, 0, 2, 1, 3, 2, 0, 3, 0, 0, 0, 3, 3, 1, 3, 3, 0, 2, 2, 2]"
40,3863890040,[]
41,3863890041,"[2, 0, 2, 2, 1, 3, 1, 2, 0, 3, 0, 3, 3, 1, 1, 2, 0, 1, 2, 3, 2, 0, 0, 3]"
42,3863890042,[]
43,3863890043,"[0, 2, 0, 0, 3, 3, 1, 3, 3, 3, 0, 2, 1, 2, 2, 0, 2, 2, 1, 3, 0, 3, 3, 1, 2, 0, 2, 2, 1, 3, 0, 3, 3, 1, 3, 3, 0, 2, 2, 2, 2, 1, 3]"
44,3863890044,[]
45,3863890045,"[1, 0, 3, 1, 3, 1, 1, 2, 2, 1, 1, 3, 0, 3, 0, 0, 2, 0, 2, 1, 3, 1, 3, 1, 2, 0, 3, 1, 2, 1, 2, 2, 0, 3, 0, 1, 3, 0, 3, 0, 2, 0, 2, 1, 1, 3, 1, 1, 2, 2, 0, 3, 1, 3, 0, 0, 3, 0, 0, 0, 2, 2, 1, 1, 3, 1, 3, 0]"
46,3863890046,"[1, 3, 0, 2, 0, 0, 3, 3, 3, 3, 1, 3, 1, 1, 1, 1, 2, 0, 3, 0, 0, 2, 2, 0, 0, 2, 2, 2, 1, 1, 3, 1, 3, 0, 2, 2, 0, 0, 3, 3, 3, 3, 1, 1, 1, 3, 0, 2, 2, 0, 0, 2, 2, 2, 1, 1, 3, 1, 3, 3, 0, 0, 0, 3, 1, 3, 1, 1, 2, 3, 1, 1, 2, 0, 0, 3, 0, 0, 0, 2, 2, 2, 2, 2, 1, 1, 3, 1, 3, 3, 0, 3, 1, 3, 0, 1, 1, 1, 2, 0, 3, 0, 0, 2, 2, 0, 0, 3, 3, 1, 1, 1, 2, 3, 0, 2, 1, 1, 1, 3, 0, 2, 0, 2, 3, 1, 3, 0, 2, 2, 0, 0, 0, 2, 2, 2, 1, 1, 3, 1, 3, 0, 2, 2, 0, 0, 3, 3, 3, 3, 1, 3, 1, 2, 1, 1, 3, 0, 2, 2, 3, 2, 0, 0, 0, 3, 1, 3, 1, 2, 3, 0, 0, 2, 2, 2, 2, 2, 1, 1, 3, 1, 3, 0, 2, 2, 0, 0, 3, 3, 3, 3, 1, 3, 1, 1, 2, 2, 3, 1, 1, 3, 0, 2, 0, 2, 2, 0, 2, 2, 0, 0, 3, 3, 3, 3, 1, 3, 1, 2, 1, 1, 3, 0, 2, 2, 0, 0, 0, 2, 2, 2, 1, 1, 1, 3, 0, 2, 0, 0, 3, 3, 3, 3, 1, 1, 1, 3, 0, 1, 0, 2, 1, 2, 0, 0, 0, 2, 2, 2, 1, 1, 3, 1, 3, 0, 2, 2, 0, 0, 3, 3, 3, 3, 3, 1, 0, 2, 2, 2, 2, 2, 1, 1, 3, 1, 3, 0, 3, 0, 3, 1, 1, 3, 0, 1, 0, 2, 2, 0, 0, 2, 2, 2, 1, 1, 3, 1, 3, 3, 0, 0, 0, 3, 1, 1, 3, 0, 1, 2, 1, 3, 1, 1, 2, 0, 3, 0, 2, 3, 0, 2, 2, 0, 0, 2, 2, 2, 1, 1, 3, 1, 3, 3, 0, 0, 0, 3, 1, 3, 1, 1, 1, 2, 0, 3, 0, 2, 3, 1, 2, 2, 0, 3, 3, 1, 2, 2, 0, 2, 2, 2, 0, 0, 3, 3, 3, 1, 0, 3, 1, 1, 2]"
47,3863890047,"[1, 0, 3, 1]"
48,3863890048,[]
49,3863890049,"[3, 2, 1, 1, 3, 0, 3, 0, 1, 2, 2, 0, 3, 2, 3, 1, 3, 3, 0, 2, 1, 0, 3, 3, 1, 3, 0, 2, 2, 2, 1, 2, 2, 0, 3, 3, 3, 3]"
50,3863890050,"[1, 0, 0, 3, 1, 3, 1, 1, 3, 3, 0, 0, 2, 0, 3, 1, 3, 1, 2, 2, 1, 2, 2, 0, 2, 3, 1, 3, 0, 3, 3, 0, 3, 0, 1, 0, 2, 1, 1, 3, 1, 2, 2, 2, 0, 2, 0, 1, 2, 0, 0, 0, 3, 1, 1, 0, 2, 1, 1, 1, 3, 0, 2, 0, 3, 0, 3, 1, 0, 0, 3, 1, 3, 3, 1, 2, 1, 2, 2, 1, 0, 3, 3, 0, 3, 0, 2, 2, 0, 2, 1, 2, 2, 1, 1, 3, 3]"
51,3863890051,[]
52,3863890052,[]
53,3863890053,"[3, 0, 1, 1, 2, 3, 0, 2, 0, 0, 0, 3, 1, 2, 1, 1, 3, 0, 0]"
54,3863890054,"[0, 0, 2, 2, 1, 2, 0, 2, 2, 1, 3, 2, 3, 0, 3, 3, 0, 3, 1, 3, 1, 1, 2, 0, 2, 2, 3, 0, 0, 3, 1, 3, 1, 1, 2, 0, 3, 2, 2, 0, 2, 2, 2, 1, 3, 2, 3, 0, 3, 3, 0, 3, 1, 3, 2, 2, 2, 2, 1, 3, 2, 2, 0, 3, 3, 3, 0, 3, 1, 3, 1, 1, 2, 0, 2, 3, 3, 0, 2, 2]"
55,3863890055,"[1, 3, 0, 2, 2, 2, 1, 3, 2, 0, 3, 3, 3, 3, 3, 1, 1, 2, 0, 2, 2, 0, 1, 3, 3, 3, 0, 2, 1, 2, 2, 0, 2, 2, 1, 3, 3, 3, 3, 0, 2, 2]"
56,3863890056,[]
57,3863890057,[]
58,3863890058,"[0, 3, 2, 3, 1, 3, 3, 0, 3, 3, 1, 2, 3, 0, 2, 2, 2, 1, 3, 0, 3, 3, 1, 2, 3, 0, 2, 2, 2, 1, 2, 2, 0, 3, 3, 3, 3, 1, 2, 2]"
59,3863890059,[]
60,3863890060,"[0, 0, 3, 0]"
61,3863890061,[]
62,3863890062,"[0, 1, 3, 0, 2, 0, 1, 3, 0, 0, 0, 2, 1, 1, 1, 3, 1, 2]"
63,3863890063,"[0, 0, 0, 2, 1, 2, 2, 0, 2, 1, 1, 3, 2, 0, 0, 3, 1, 3, 3, 3, 1, 1, 2, 0, 3, 0, 2, 2, 2, 1, 3, 0, 3, 3, 1, 1, 2, 0]"
64,3863890064,[]
65,3863890065,[]
